area_type,location,size,total_sqft,price,category,availability
Super built-up  Area,Kalena Agrahara,2 BHK,1325,7600000,Urban,Ready To Move
Built-up  Area,7th Phase JP Nagar,3 BHK,1850,15000000,Urban,21-Dec
Super built-up  Area,Kanakpura Road,1 BHK,525,2153000,Urban,Ready To Move
Super built-up  Area,Basaveshwara Nagar,2 BHK,1200,6500000,Urban,Ready To Move
Plot  Area,Bull Temple Road,3 Bedroom,1350,14000000,Urban,18-Jun
Super built-up  Area,Bommasandra,3 BHK,1260,4936000,Urban,Ready To Move
Super built-up  Area,Prashanth Nagar,3 BHK,1800,15000000,Urban,18-Dec
Plot  Area,Suragajakkanahalli,3 Bedroom,11,7400000,Urban,Ready To Move
Built-up  Area,Ardendale,2 BHK,1100,4325000,Urban,Ready To Move
Super built-up  Area,Harlur,2 BHK,1508,7700000,Urban,Ready To Move
Carpet  Area,Sampigehalli,3 BHK,1592,7500000,Urban,Ready To Move
Super built-up  Area,Akshaya Nagar,2 BHK,1388,5700000,Urban,18-May
Super built-up  Area,Electronic City Phase II,1 BHK,630,2835000,Urban,Ready To Move
Plot  Area,RMV,3 Bedroom,2000,36500000,Urban,Ready To Move
Super built-up  Area,Banashankari3rd stage bigbazar,3 BHK,1762,12500000,Urban,21-Dec
Super built-up  Area,Bagalur Main Road,2 BHK,950,5000000,Urban,Ready To Move
Super built-up  Area,Kodihalli,4 BHK,3252,33500000,Urban,18-Aug
Super built-up  Area,Magadi Road,2 BHK,1116,5000000,Urban,Ready To Move
Super built-up  Area,Narayanapura,2 BHK,1308,8904000,Urban,Ready To Move
Super built-up  Area,MS Pallya,3 BHK,1200,9000000,Urban,Ready To Move
Plot  Area,Binny Mills Employees Colony,4 Bedroom,1500,23000000,Urban,Ready To Move
Built-up  Area,Bannerghatta Road,1 BHK,500,1850000,Urban,Ready To Move
Super built-up  Area,Hennur,2 BHK,1075,5200000,Urban,18-Mar
Super built-up  Area,Chandapura,1 BHK,530,1166000,Urban,Ready To Move
Built-up  Area,Bellandur,2 BHK,1205,6600000,Urban,Ready To Move
Super built-up  Area,5th Phase JP Nagar,2 BHK,1075,6000000,Urban,Ready To Move
Built-up  Area,KR Puram,2 BHK,930,3900000,Urban,Ready To Move
Super built-up  Area,Balagere,2 BHK,1380,6000000,Urban,Ready To Move
Super built-up  Area,Hebbal,4 BHK,2483,21200000,Urban,Ready To Move
Built-up  Area,Kodigehaali,2 BHK,1166,5500000,Urban,Ready To Move
Super built-up  Area,Bannerghatta Road,2 BHK,1050,6500000,Urban,19-Mar
Super built-up  Area,Gopalapura,3 BHK,2023.71,27500000,Urban,Ready To Move
Super built-up  Area,Begur Road,2 BHK,1200,4680000,Urban,Ready To Move
Super built-up  Area,Lakshminarayana Pura,3 BHK,1600,10800000,Urban,Ready To Move
Super built-up  Area,Billekahalli,3 BHK,1935,11000000,Urban,18-May
Super built-up  Area,8th Phase JP Nagar,1 BHK,451,2990000,Urban,Ready To Move
Super built-up  Area,Electronic City,3 BHK,1800,9500000,Urban,18-May
Super built-up  Area,Jalahalli,3 BHK,1400,7700000,Urban,Ready To Move
Super built-up  Area,Hegde Nagar,3 BHK,1801,11500000,Urban,Ready To Move
Built-up  Area,Mahadevpura,2 BHK,1451,9000000,Urban,19-Jan
Plot  Area,Anekal,2 Bedroom,1200,3600000,Urban,Ready To Move
Super built-up  Area,Begur Road,2 BHK,1160,4400000,Urban,Ready To Move
Built-up  Area,Kengeri,2 BHK,1000,2500000,Urban,Ready To Move
Super built-up  Area,Kanakpura Road,2 BHK,950,4000000,Urban,20-Dec
Built-up  Area,"Hoodi Circle, ",3 BHK,1629,7900000,Urban,Ready To Move
Built-up  Area,Vijayanagar,3 BHK,1580,13400000,Urban,21-Jun
Super built-up  Area,Vijayanagar,3 BHK,1826,12100000,Urban,Ready To Move
Built-up  Area,7th Phase JP Nagar,2 BHK,1245,9400000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1145,4579000,Urban,Ready To Move
Super built-up  Area,Sompura,2 BHK,825,3300000,Urban,18-Aug
Super built-up  Area,Yeshwanthpur,3 BHK,1693,10800000,Urban,Ready To Move
Super built-up  Area,Electronics City Phase 1,2 BHK,1113.27,5300000,Urban,Ready To Move
Built-up  Area,Ashirvad Colony,2 BHK,1460,5800000,Urban,Ready To Move
Built-up  Area,Doddathoguru,2 BHK,1050,3200000,Urban,Ready To Move
Built-up  Area,Dodda Nekkundi,2 BHK,1260,5500000,Urban,Ready To Move
Super built-up  Area,K N Extension,6 BHK,700,12000000,Urban,Ready To Move
Built-up  Area,Hosur Road,2 BHK,1656,12000000,Urban,Ready To Move
Super built-up  Area,Chandapura,3 BHK,1208,4500000,Urban,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1910,16100000,Urban,Ready To Move
Super built-up  Area,Whitefield,4 BHK,3252,23000000,Urban,Ready To Move
Plot  Area,Battarahalli,2 Bedroom,1200,6500000,Urban,Ready To Move
Super built-up  Area,Gokula Extension,4 BHK,1200,17500000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,2 BHK,1175,8200000,Urban,Ready To Move
Plot  Area,Kamakshipalya,2 Bedroom,1000,16500000,Urban,Ready To Move
Plot  Area,Bannerghatta Road,4 Bedroom,1200,12500000,Urban,Ready To Move
Super built-up  Area,Rajaji Nagar,3 BHK,2390,41000000,Urban,19-Jan
Super built-up  Area,Rajaji Nagar,7 BHK,12000,220000000,Urban,Ready To Move
Plot  Area,Sultan Palaya,2 Bedroom,550,6200000,Urban,Ready To Move
Super built-up  Area,Kengeri,1 BHK,34.46Sq. Meter,1850000,Urban,Ready To Move
Super built-up  Area,Sanne Amanikere,2 BHK,1185,3800000,Urban,Ready To Move
Super built-up  Area,Kengeri,2 BHK,750,3800000,Urban,Ready To Move
Plot  Area,Mahalakshmi Layout,6 Bedroom,1200,25000000,Urban,Ready To Move
Super built-up  Area,Kanakpura Road,3 BHK,1550,6450000,Urban,Ready To Move
Built-up  Area,Amco Colony,3 BHK,1760,8800000,Urban,Ready To Move
Super built-up  Area,Billekahalli,2 BHK,1125,6200000,Urban,Ready To Move
Plot  Area,Nagarbhavi,3 Bedroom,1350,15000000,Urban,17-Dec
Plot  Area,Anandapura,2 Bedroom,1000,5500000,Urban,18-Aug
Built-up  Area,Bommasandra Industrial Area,2 BHK,1090,3148000,Urban,Ready To Move
Plot  Area,TC Palaya,2 Bedroom,1200,6000000,Urban,Ready To Move
Super built-up  Area,Budigere,3 BHK,1991,10300000,Urban,18-Oct
Super built-up  Area,Bommasandra,2 BHK,1060,2650000,Urban,Ready To Move
Super built-up  Area,Ambalipura,2 BHK,1105,7500000,Urban,Ready To Move
Built-up  Area,Hoodi,2 BHK,985,6700000,Urban,Ready To Move
Plot  Area,Chandapura,6 Bedroom,1533,8500000,Urban,17-Jul
Super built-up  Area,Balagere,3 BHK,1590,7900000,Urban,Ready To Move
Super built-up  Area,CV Raman Nagar,2 BHK,1120,5500000,Urban,Ready To Move
Super built-up  Area,Samethanahalli,2 BHK,1069,5500000,Urban,Ready To Move
Super built-up  Area,Marathahalli,3 BHK,1933,14000000,Urban,16-Mar
Built-up  Area,Hosur Road,2 BHK,1194,6900000,Urban,Ready To Move
Super built-up  Area,Brookefield,2 BHK,1150,6900000,Urban,Ready To Move
Super built-up  Area,Yelenahalli,2 BHK,1240,4712000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1419,4810000,Urban,Ready To Move
Plot  Area,7th Phase JP Nagar,8 Bedroom,1200,25000000,Urban,Ready To Move
Super built-up  Area,Richmond Town,3 BHK,2150,24000000,Urban,Ready To Move
Super built-up  Area,Suddaguntepalya,3 BHK,1450,5500000,Urban,18-Jul
Super built-up  Area,Udayapur Village,3 BHK,1630,6829000,Urban,Ready To Move
Super built-up  Area,Dasanapura,2 BHK,708,4000000,Urban,Ready To Move
Plot  Area,Kasavanhalli,3 Bedroom,1000,11000000,Urban,Ready To Move
Plot  Area,Whitefield,4 Bedroom,11890,70000000,Urban,Ready To Move
Super built-up  Area,Bellandur,2 BHK,1250,7600000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,3 BHK,1400,9500000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,3 BHK,1670,5700000,Urban,Ready To Move
Super built-up  Area,Ardendale,3 BHK,1750,10000000,Urban,Ready To Move
Super built-up  Area,Vittasandra,2 BHK,1404,7100000,Urban,Ready To Move
Super built-up  Area,Hoodi,3 BHK,1715,9500000,Urban,18-Apr
Built-up  Area,Electronic City,1 BHK,630,3465000,Urban,Ready To Move
Super built-up  Area,Harlur,3 BHK,1752.12,13500000,Urban,Ready To Move
Super built-up  Area,Hulimavu,3 BHK,1650,7800000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,5547000,Urban,Ready To Move
Plot  Area,Giri Nagar,3 Bedroom,1800,25200000,Urban,18-Sep
Super built-up  Area,Sarjapur  Road,2 BHK,1346,7403000,Urban,Ready To Move
Plot  Area,Thippasandra,4 Bedroom,1200,20000000,Urban,Ready To Move
Super built-up  Area,Hormavu,2 BHK,1150,5500000,Urban,Ready To Move
Built-up  Area,Chikkabidarakallu,4 Bedroom,3309,32500000,Urban,18-May
Super built-up  Area,Chandapura,3 BHK,1190,3035000,Urban,Ready To Move
Super built-up  Area,AECS Layout,3 BHK,1620,9800000,Urban,18-Apr
Super built-up  Area,Marathahalli,2 BHK,950,4696000,Urban,Ready To Move
Super built-up  Area,1 Giri Nagar,11 BHK,5000,36000000,Urban,Ready To Move
Super built-up  Area,Harlur,3 BHK,2450,12000000,Urban,18-May
Super built-up  Area,Electronic City Phase II,3 BHK,1220,3523000,Urban,Ready To Move
Super built-up  Area,Hoysalanagar,2 BHK,850,3000000,Urban,Ready To Move
Built-up  Area,Padmanabhanagar,2 BHK,1020,6300000,Urban,Ready To Move
Built-up  Area,Chikkalasandra,2 BHK,1100,5000000,Urban,Ready To Move
Super built-up  Area,Defence Colony,2 BHK,1150,12600000,Urban,18-Dec
Super built-up  Area,Hebbal,3 BHK,1760,13000000,Urban,Ready To Move
Super built-up  Area,Ambalipura,3 BHK,1800,11000000,Urban,Ready To Move
Super built-up  Area,Akshaya Nagar,2 BHK,1070,5400000,Urban,Ready To Move
Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1500,22000000,Urban,Ready To Move
Plot  Area,Vidyaranyapura,2 Bedroom,1440,9500000,Urban,Ready To Move
Super built-up  Area,Amruthahalli,2 BHK,900,4000000,Urban,Ready To Move
Built-up  Area,ITI Employees Layout,4 BHK,1200,23000000,Urban,18-May
Super built-up  Area,Whitefield,2 BHK,1130,4216000,Urban,Ready To Move
Super built-up  Area,Koramangala,2 BHK,1320,16500000,Urban,19-Jun
Super built-up  Area,Kodigehalli,2 BHK,1270,9800000,Urban,Ready To Move
Built-up  Area,Patelappa Layout,2 BHK,1200,6200000,Urban,Ready To Move
Super built-up  Area,Ring Road Nagarbhavi,4 BHK,4800,23500000,Urban,Ready To Move
Super built-up  Area,NS Palya,2 BHK,1200,7400000,Urban,Ready To Move
Super built-up  Area,Subramanyapura,2 BHK,929,5017000,Urban,Ready To Move
Built-up  Area,RMV 2nd Stage,4 BHK,1150,26000000,Urban,Ready To Move
Plot  Area,Basavangudi,4 Bedroom,1125,18000000,Urban,Ready To Move
Plot  Area,Kenchenahalli,5 Bedroom,500,6500000,Urban,Ready To Move
Plot  Area,3rd Block Hrbr Layout,5 Bedroom,1200,19000000,Urban,Ready To Move
Super built-up  Area,KUDLU MAIN ROAD,3 BHK,1464,5600000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,4 BHK,3600,40000000,Urban,Ready To Move
Plot  Area,Bank Avenue,4 Bedroom,2000,9900000,Urban,Ready To Move
Super built-up  Area,Chikkalasandra,2 BHK,1208,4900000,Urban,Ready To Move
Super built-up  Area,Hebbal Kempapura,2 BHK,1130,6000000,Urban,Ready To Move
Super built-up  Area,Surabhi Layout,3 BHK,1753,12000000,Urban,Ready To Move
Super built-up  Area,Old Madras Road,5 BHK,4500,33700000,Urban,Ready To Move
Plot  Area,Banjara Layout,3 Bedroom,600,5800000,Urban,22-Jun
Super built-up  Area,Hoodi,2 BHK,1196,9442000,Urban,Ready To Move
Built-up  Area,5th Phase JP Nagar,2 BHK,1150,5250000,Urban,18-Apr
Super built-up  Area,Electronic City,2 BHK,1128,6300000,Urban,Ready To Move
Super built-up  Area,Omkar Nagar,2 BHK,1000,5300000,Urban,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1035,4500000,Urban,Ready To Move
Built-up  Area,Kereguddadahalli,2 BHK,950,3200000,Urban,Ready To Move
Super built-up  Area,Bisuvanahalli,3 BHK,1075,3600000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1040,4850000,Urban,17-Oct
Plot  Area,Maragondanahalli,2 Bedroom,720,4500000,Urban,Ready To Move
Super built-up  Area,Lingadheeranahalli,3 BHK,1511,9500000,Urban,Ready To Move
Built-up  Area,Silk Board,3 BHK,1300,5800000,Urban,19-Dec
Super built-up  Area,Hoodi,3 BHK,1545,6875000,Urban,Ready To Move
Built-up  Area,Shampura,1 BHK,375,2600000,Urban,Ready To Move
Super built-up  Area,Vidyaranyapura,2 BHK,1062,3800000,Urban,Ready To Move
Super built-up  Area,Kada Agrahara,2 BHK,1115,4000000,Urban,Ready To Move
Super built-up  Area,JP Nagar,2 BHK,1000,3500000,Urban,17-May
Super built-up  Area,Kambipura,2 BHK,883,4500000,Urban,19-Apr
Super built-up  Area,Sarjapur  Road,2 BHK,1195,7000000,Urban,Ready To Move
Plot  Area,BHEL Layout,4 Bedroom,1200,16500000,Urban,Ready To Move
Built-up  Area,Medahalli,1 Bedroom,700,4100000,Urban,Ready To Move
Super built-up  Area,Vittasandra,2 BHK,1246,6700000,Urban,Ready To Move
Plot  Area,8th Phase JP Nagar,4 Bedroom,660,9000000,Urban,Ready To Move
Plot  Area,Banashankari Stage III,4 Bedroom,8500,14500000,Urban,Ready To Move
Super built-up  Area,Kashi Nagar,4 BHK,1600,8000000,Urban,18-Dec
Super built-up  Area,Haralur Road,4 BHK,2805,15400000,Urban,Ready To Move
Super built-up  Area,Begur Road,3 BHK,1584,6500000,Urban,Ready To Move
Plot  Area,Sector 7 HSR Layout,4 Bedroom,3000,27500000,Urban,Ready To Move
Built-up  Area,Hosur Road,3 BHK,1175,4800000,Urban,19-Jul
Built-up  Area,"Yemlur, Old Airport Road, ",3 BHK,1595,11500000,Urban,Ready To Move
Super built-up  Area,VHBCS Layout,2 BHK,1353,11000000,Urban,18-Apr
Super built-up  Area,Electronic City,3 BHK,1599,12500000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1150,7000000,Urban,17-Dec
Super built-up  Area,Jakkur,4 BHK,5230,46500000,Urban,Ready To Move
Super built-up  Area,KR Puram,2 BHK,1155,4274000,Urban,Ready To Move
Built-up  Area,Ittamadu,1 BHK,1200,8500000,Urban,18-Jul
Super built-up  Area,Electronic City Phase II,2 BHK,1000,2500000,Urban,Ready To Move
Super built-up  Area,Thanisandra,4 BHK,3000,12000000,Urban,Ready To Move
Built-up  Area,Rajiv Nagar,3 BHK,1867,16000000,Urban,18-Jun
Super built-up  Area,Ramagondanahalli,2 BHK,1251,4700000,Urban,18-Apr
Super built-up  Area,Gattahalli,2 BHK,1028,4550000,Urban,Ready To Move
Super built-up  Area,Arekere,2 BHK,1222,4500000,Urban,Ready To Move
Super built-up  Area,Bannerghatta Road,3 BHK,1170,6600000,Urban,Ready To Move
Super built-up  Area,Hebbal,3 BHK,2400,24500000,Urban,Ready To Move
Super built-up  Area,Ramanjaneyanagar,3 BHK,1385,4848000,Urban,Ready To Move
Super built-up  Area,HSR Layout,2 BHK,1372,6800000,Urban,Ready To Move
Super built-up  Area,Magadi Road,3 BHK,1282,4900000,Urban,Ready To Move
Super built-up  Area,Mico Layout,9 BHK,5000,21000000,Urban,Ready To Move
Built-up  Area,7th Block Jayanagar,5 Bedroom,3000,52800000,Urban,Ready To Move
Super built-up  Area,Kanakpura Road,2 BHK,1135,3973000,Urban,20-Dec
Built-up  Area,Whitefield,3 BHK,1768,10100000,Urban,Ready To Move
Built-up  Area,Byatarayanapura,3 BHK,1325,9000000,Urban,18-Apr
Super built-up  Area,Electronic City,3 BHK,1599,9900000,Urban,18-Mar
Plot  Area,Whitefield,3 Bedroom,1500,6195000,Urban,Ready To Move
Plot  Area,2nd Phase JP Nagar,3 Bedroom,2610,49900000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,2 BHK,1286,6300000,Urban,Ready To Move
Built-up  Area,Kammanahalli,5 BHK,2845,14000000,Urban,Ready To Move
Super built-up  Area,K G Colony,3 BHK,1600,5000000,Urban,18-Sep
Super built-up  Area,Hennur Road,2 BHK,1195 - 1440,6377000,Urban,Ready To Move
Super built-up  Area,Hebbal,3 BHK,3450,26000000,Urban,18-Apr
Super built-up  Area,Munnekollal,2 BHK,1102,5367000,Urban,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1350,5400000,Urban,Ready To Move
Super built-up  Area,Banashankari,3 BHK,1200,4200000,Urban,Ready To Move
Plot  Area,Hosa Road,6 Bedroom,1300,14500000,Urban,Ready To Move
Plot  Area,Herohalli,2 Bedroom,1800,8000000,Urban,Ready To Move
Built-up  Area,Chikkabanavar,2 BHK,950,4000000,Urban,21-Dec
Super built-up  Area,Kanakpura Road,1 BHK,525,2725000,Urban,Ready To Move
Built-up  Area,Attibele,2 BHK,656,2500000,Urban,Ready To Move
Plot  Area,Marathahalli,4 Bedroom,1780,17500000,Urban,Ready To Move
Super built-up  Area,3rd Block Hrbr Layout,2 BHK,1056,8000000,Urban,21-Feb
Super built-up  Area,Bannerghatta Road,1 BHK,595,3332000,Urban,Ready To Move
Built-up  Area,Ittamadu,2 BHK,1080,5000000,Urban,19-Dec
Super built-up  Area,7th Phase JP Nagar,3 BHK,2225,16000000,Urban,18-Aug
Super built-up  Area,Bommasandra,2 BHK,1126,2815000,Urban,Ready To Move
Super built-up  Area,Electronics City Phase 1,3 BHK,1490,8400000,Urban,Ready To Move
Plot  Area,HRBR Layout,4 Bedroom,2000,30000000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,3 BHK,1550,10000000,Urban,Ready To Move
Super built-up  Area,,3 BHK,1600,8600000,,Ready To Move
Built-up  Area,Ashwini layout,2 BHK,1160,5500000,Urban,Ready To Move
Built-up  Area,Whitefield,4 Bedroom,4144,31500000,Rural,Ready To Move
Super built-up  Area,Sarjapur  Road,3 BHK,2100,12500000,Urban,Ready To Move
Super built-up  Area,Vittasandra,2 BHK,1404,6930000,Rural,Ready To Move
Plot  Area,Sarjapur  Road,4 Bedroom,2230,22500000,Urban,Ready To Move
Super built-up  Area,Marathalli bridge,3 BHK,1544,12000000,Urban,18-May
Super built-up  Area,Banashankari Stage III,3 BHK,1305,5870000,Rural,Ready To Move
Super built-up  Area,Marathahalli,2 BHK,1230,8000000,Urban,Ready To Move
Plot  Area,T.C PALYA,2 Bedroom,1200,6500000,Rural,Ready To Move
Super built-up  Area,Harlur,3 BHK,1460,7300000,Rural,Immediate Possession
Plot  Area,Sarjapur  Road,,1200 - 2400,3418500,Urban,Ready To Move
Built-up  Area,Gottigere,2 BHK,967,4500000,Rural,Ready To Move
Built-up  Area,Byatarayanapura,1 Bedroom,540,3600000,Urban,19-Dec
Super built-up  Area,Hormavu,1 BHK,715,4600000,Rural,Ready To Move
Super built-up  Area,Whitefield,3 BHK,2500,31300000,Rural,Ready To Move
Super built-up  Area,Dooravani Nagar,3 BHK,1578,18000000,Urban,Ready To Move
Super built-up  Area,Mysore Road,2 BHK,1020,4895000,Urban,Ready To Move
Super built-up  Area,Jigani,2 BHK,1020,4000000,Rural,Ready To Move
Super built-up  Area,Koramangala,2 BHK,1253,10200000,Rural,Ready To Move
Super built-up  Area,JCR Layout,2 BHK,1180,4200000,Urban,Ready To Move
Super built-up  Area,Nehru Nagar,2 BHK,961,3800000,Urban,Ready To Move
Built-up  Area,Kanakapura,3 BHK,1419,7500000,Urban,Ready To Move
Super built-up  Area,Harlur,3 BHK,1709,15000000,Rural,Ready To Move
Plot  Area,Papareddipalya,2 Bedroom,1600,11500000,Rural,18-Jul
Super built-up  Area,Venkatapura,1 BHK,416,1850000,Urban,Ready To Move
Carpet  Area,Sanjay nagar,2 BHK,1100,9800000,Urban,Ready To Move
Super built-up  Area,HSR Layout,3 BHK,1430,6500000,Urban,Ready To Move
Super built-up  Area,Sneha Colony,2 BHK,1260,4500000,Urban,Ready To Move
Built-up  Area,RMV Extension,3 BHK,1630,8500000,Urban,19-May
Super built-up  Area,Sarjapur  Road,3 BHK,1249,4471000,Urban,Ready To Move
Super built-up  Area,Kalena Agrahara,3 BHK,1450,8500000,Urban,17-Nov
Super built-up  Area,Konanakunte,3 BHK,2791,22300000,Rural,Ready To Move
Super built-up  Area,Hosapalya,1 BHK,600,9000000,Rural,Ready To Move
Built-up  Area,Ashwini layout,1 BHK,834,6000000,Urban,Ready To Move
Plot  Area,Doddagubbi,3 Bedroom,1125,7000000,Rural,Ready To Move
Super built-up  Area,Arekere,3 BHK,2060,14000000,Rural,19-Jan
Super built-up  Area,Malleshwaram,7 BHK,12000,220000000,Rural,Ready To Move
Built-up  Area,Gottigere,2 BHK,891,2500000,Rural,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,4907000,Urban,Ready To Move
Built-up  Area,Bisuvanahalli,3 BHK,1075,3700000,Urban,18-May
Super built-up  Area,Sector 6 HSR Layout,4 BHK,3000,26000000,Urban,Ready To Move
Plot  Area,Brookefield,4 Bedroom,2440,42500000,Rural,Ready To Move
Built-up  Area,Vidyaranyapura,2 BHK,1200,5500000,Urban,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1075,4580000,Rural,Ready To Move
Super built-up  Area,Kaggadasapura,2 BHK,1140,4000000,Urban,Ready To Move
Plot  Area,Margondanahalli,5 Bedroom,940,15000000,Urban,Ready To Move
Plot  Area,ITI Layout,6 Bedroom,2160,25000000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1090,4200000,Urban,Ready To Move
Built-up  Area,R.T. Nagar,4 Bedroom,1500,7000000,Urban,Ready To Move
Super built-up  Area,Whitefield,4 BHK,4104,36000000,Rural,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1790,10000000,Rural,18-Dec
Super built-up  Area,Hebbal,3 BHK,1920,13400000,Rural,Ready To Move
Built-up  Area,HRBR Layout,2 BHK,1374,9500000,Urban,Ready To Move
Carpet  Area,Bannerghatta Road,3 BHK,1445,9500000,Urban,19-Dec
Super built-up  Area,Kanakapura,1 BHK,711,3600000,Urban,Ready To Move
Super built-up  Area,Tumkur Road,3 BHK,1500,9500000,Urban,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1720,10000000,Rural,Ready To Move
Super built-up  Area,Vasanthapura,3 BHK,1400,6000000,Urban,Ready To Move
Built-up  Area,Kundalahalli,2 BHK,1030,4900000,Urban,Ready To Move
Super built-up  Area,Mysore Road,2 BHK,1200,8500000,Urban,18-Jul
Carpet  Area,Hosahalli,3 BHK,1375,7000000,Urban,Ready To Move
Plot  Area,Hegde Nagar,2 Bedroom,1050,5600000,Urban,Ready To Move
Super built-up  Area,Jalahalli,3 BHK,2250,16000000,Urban,Ready To Move
Super built-up  Area,Bellandur,2 BHK,1000,5000000,Rural,Ready To Move
Super built-up  Area,Jalahalli West,1 BHK,469,2500000,Urban,Ready To Move
Super built-up  Area,Marathahalli,4 BHK,3800,25000000,Urban,Ready To Move
Super built-up  Area,Kambipura,2 BHK,883,2900000,Urban,Ready To Move
Super built-up  Area,GM Palaya,3 BHK,1820,8600000,Rural,Ready To Move
Built-up  Area,Singasandra,3 BHK,1440,6500000,Rural,Ready To Move
Super built-up  Area,near Ramanashree California resort,6 BHK,3600,16000000,Rural,Ready To Move
Built-up  Area,Malleshwaram,4 BHK,2500,32500000,Rural,18-Aug
Super built-up  Area,Mahadevpura,2 BHK,1225,4800000,Urban,Ready To Move
Plot  Area,"6th block banashankari 3rd stage, 100 feet ORR",3 Bedroom,4000,66000000,Rural,Ready To Move
Carpet  Area,Chikkalasandra,2 BHK,875,5280000,Rural,Ready To Move
Super built-up  Area,Jalahalli East,1 BHK,750,4000000,Urban,Ready To Move
Super built-up  Area,6th Phase JP Nagar,2 BHK,1180,8000000,Urban,Ready To Move
Super built-up  Area,Haralur Road,2 BHK,1194,4700000,Urban,Ready To Move
Super built-up  Area,Hennur Road,3 BHK,1500,6200000,Urban,Ready To Move
Super built-up  Area,Poornapragna Housing Society Layout,2 BHK,1160,5220000,Urban,Ready To Move
Built-up  Area,Arekere,9 Bedroom,4125Perch,26500000,Rural,Ready To Move
Super built-up  Area,Hosakerehalli,3 BHK,2378,26200000,Urban,Ready To Move
Super built-up  Area,Sarjapur,2 BHK,1128,6000000,Rural,Ready To Move
Super built-up  Area,Hebbal,3 BHK,1500,15000000,Rural,18-Aug
Built-up  Area,Huskur,3 BHK,1220,3523000,Rural,Ready To Move
Super built-up  Area,Sarjapur  Road,2 BHK,1210,5800000,Urban,20-Oct
Super built-up  Area,Kanakpura Road,3 BHK,1100,5800000,Urban,Ready To Move
Super built-up  Area,Bommasandra,3 BHK,1200,4600000,Rural,18-Mar
Built-up  Area,Haralur Road,4 BHK,3385,26000000,Urban,Ready To Move
Super built-up  Area,Nagondanahalli,3 BHK,1641,6600000,Urban,Ready To Move
Super built-up  Area,Horamavu Agara,2 BHK,1200,4500000,Rural,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1260,6739000,Urban,Ready To Move
Super built-up  Area,Mahadevpura,3 BHK,1720,7800000,Urban,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1120 - 1145,4813000,Rural,Ready To Move
Super built-up  Area,Yelahanka,2 BHK,1210,4598000,Rural,Ready To Move
Built-up  Area,Indira Nagar,4 Bedroom,2200,20000000,Urban,Ready To Move
Super built-up  Area,Bisuvanahalli,3 BHK,1075,4500000,Urban,Ready To Move
Built-up  Area,Thanisandra,3 BHK,1702,13000000,Rural,Ready To Move
Super built-up  Area,Shanthala Nagar,2 BHK,1630,20000000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1141,3855000,Urban,18-Apr
Super built-up  Area,Shantiniketan Layout,3 BHK,2072,10800000,Urban,18-Dec
Super built-up  Area,JP Nagar,5 BHK,4400 - 6640,37500000,Urban,Ready To Move
Built-up  Area,Herohalli,3 Bedroom,1200,7000000,Urban,Ready To Move
Super built-up  Area,Teachers Colony,3 BHK,1350,7700000,Urban,18-Mar
Built-up  Area,Bettahalsoor,4 Bedroom,3090 - 5002,44500000,Rural,18-Dec
Super built-up  Area,Srinivasa Nagar,3 BHK,1180,7834000,Urban,Ready To Move
Built-up  Area,Yelahanka,3 BHK,35000,13000000,Rural,Ready To Move
Super built-up  Area,Langford Town,2 BHK,1355,11500000,Urban,Ready To Move
Plot  Area,Sulthangunta,1 Bedroom,600,5000000,Rural,Ready To Move
Plot  Area,Hormavu,7 Bedroom,1200,15000000,Rural,Ready To Move
Super built-up  Area,Bannerghatta Road,3 BHK,1640,12000000,Urban,Ready To Move
Plot  Area,Byrathi Village,5 Bedroom,1200,10000000,Rural,Ready To Move
Super built-up  Area,Kodichikkanahalli,3 BHK,1190,5700000,Urban,Ready To Move
Plot  Area,OMBR Layout,4 Bedroom,2400,37500000,Urban,Ready To Move
Super built-up  Area,Marathahalli,2 BHK,1019,4985000,Urban,Ready To Move
Super built-up  Area,Ambedkar Colony,3 BHK,1875,16500000,Urban,18-May
